# 1560 SPDC measurement 
# Temperature scan between 35 and 35 °C
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel.
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 65 mW  at 780 nm (262 mA) 
# Pump polarization: 'H' (21R) = 82.1 mW)# Periodic polling: 9.12 um
# Initial setup alignment at 41.0 C
# Integration time:  75 s 
# Single photon detector QE: 10% 
# Single photon detector dead time: 5 us 
# Time-delay of [0, 0] ns
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [°C]    [/]    [/]    [/] 
39.32    1702073    2492348    7312
39.34    1709884    2487237    7221
39.36    1722995    2474626    7320
39.38    1727312    2470407    7252
39.4    1730925    2463844    7207
39.42    1736499    2456296    7297
39.44    1742193    2447971    7283
39.46    1745903    2427785    7206
39.48    1746207    2423406    7203
39.5    1749986    2397118    7126
39.52    1751922    2391803    6947
39.54    1753575    2367593    6950
39.56    1750663    2352640    6817
39.58    1750154    2345060    6752
39.6    1745045    2311675    6749
39.62    1747021    2301843    6672
39.64    1734183    2275915    6597
39.66    1735136    2257201    6188
39.68    1726624    2224641    6226
39.7    1720535    2214229    6118
39.72    1714504    2200874    6156
39.74    1701743    2163587    6060
39.76    1700911    2145155    5919
39.78    1681565    2102362    5686
39.8    1676061    2091244    5553
39.82    1658157    2050931    5573
39.84    1652121    2031558    5405
39.86    1643854    2014534    5122
39.88    1619762    1972704    4982
39.9    1611944    1953442    4901
39.92    1589150    1910015    4771
39.94    1581914    1896296    4753
39.96    1557503    1849501    4474
39.98    1545053    1831978    4371
40.0    1533204    1813507    4257
40.02    1506097    1763412    4060
40.04    1495405    1743405    3989
40.06    1469212    1698306    3828
40.08    1455665    1680718    3713
40.1    1425565    1629575    3523
40.12    1412057    1613670    3286
40.14    1399977    1593586    3361
40.16    1368891    1545737    3162
40.18    1354899    1530215    3100
40.2    1324630    1480759    2958
40.22    1311084    1463661    2824
40.24    1277550    1418571    2709
40.26    1261447    1399739    2537
40.28    1230370    1352841    2448
40.3    1216950    1333767    2325
40.32    1203578    1311242    2285
40.34    1167239    1268654    2108
40.36    1154337    1255347    2095
40.38    1118081    1209471    1888
40.4    1105398    1192999    1916
40.42    1073663    1151483    1743
40.44    1058066    1135891    1719
40.46    1045063    1117761    1713
40.48    1012027    1081336    1598
40.5    1000864    1063684    1508
40.52    964477    1024554    1431
40.54    951512    1012392    1418
40.56    921552    972254    1286
40.58    906566    954032    1199
40.6    892289    941415    1208
40.62    860415    907906    1114
40.64    851540    895161    1031
40.66    820181    863026    934
40.68    807126    849869    949
40.7    779464    817677    898
40.72    766270    804661    868
40.74    754821    789806    846
40.76    724965    762759    813
40.78    713121    750733    728
40.8    688279    721172    670
40.82    677527    711315    715
40.84    651947    681553    660
40.86    641810    674464    634
40.88    614832    648719    584
40.9    606848    637818    567
40.92    595002    626833    509
40.94    571260    601497    498
40.96    561001    594118    494
40.98    539604    571747    450
41.0    533003    563393    435
41.02    510621    541158    444
41.04    502651    531970    423
41.06    497867    522628    409
41.08    473325    502269    399
41.1    467933    499069    369
41.12    446444    476695    348
41.14    439070    469351    351
41.16    425459    451619    352
41.18    416622    444370    319
41.2    409521    437996    341
41.22    394910    420260    286
41.24    388243    414341    266
41.26    374043    398694    262
41.28    366412    392529    287
41.3    351554    377153    250
41.32    345680    370048    259
41.34    339176    363770    258
41.36    326433    348528    232
41.38    323144    342458    218
41.4    308280    331492    207
41.42    302525    324896    211
41.44    291515    313630    162
41.46    285707    306973    187
41.48    281655    303809    182
41.5    270791    291632    165
41.52    266618    285714    172
41.54    255845    275497    163
41.56    250954    269223    154
41.58    242369    259455    158
41.6    236864    256062    156
41.62    227832    247548    143
41.64    225769    241690    139
41.66    221825    238585    153
41.68    211961    230835    129
41.7    208929    226024    115
41.72    201617    218107    110
41.74    197035    214290    124
41.76    189820    206971    114
41.78    187184    203013    112
41.8    183452    199595    118
41.82    176907    191618    104
41.84    173775    189866    96
41.86    166785    180377    94
41.88    163888    180063    82
41.9    158311    173787    91
41.92    155278    169485    82
41.94    152712    169516    88
41.96    146877    162837    74
41.98    145085    161114    89
42.0    138720    155006    84
42.02    137985    152942    64
42.04    131577    147729    54
42.06    130365    144466    80
42.08    128726    144039    65
42.1    123001    138874    70
42.12    121540    137307    64
42.14    117473    131994    57
42.16    115050    131743    72
42.18    111123    125756    64
42.2    108807    124397    46
42.22    106536    120965    57
42.24    104892    118878    34
42.26    101959    118200    46
42.28    99266    115332    46
42.3    98242    114173    52
42.32    95227    108827    42
42.34    93166    108062    42
42.36    89773    104976    47
42.38    88861    104794    44
42.4    87237    102578    40
42.42    85040    99016    46
42.44    83481    98875    38
42.46    81764    96571    38
42.48    81002    94100    28
42.5    77503    91566    21
42.52    77020    90275    40
42.54    75806    89375    33
42.56    73301    86385    33
42.58    73018    85924    36
42.6    70770    83760    26
42.62    69768    82891    24
42.64    68345    79836    30
42.66    67429    79721    30
42.68    66171    79131    22
42.7    64273    76528    20
42.72    63868    76426    28
42.74    61311    74513    22
42.76    61158    74517    16
42.78    59522    71615    13
42.8    58265    71033    15
42.82    58529    69995    16
42.84    56642    68744    24
42.86    55851    68493    25
42.88    54767    66858    12
42.9    54127    65548    14
42.92    52871    65302    22
42.94    52540    64958    13
42.96    50743    62718    9
42.98    49876    62944    8
43.0    50004    61868    9
43.02    48299    61236    12
43.04    48477    61617    11
43.06    46811    60598    11
43.08    46135    59215    10
43.1    45570    58749    7
43.12    45539    57911    13
43.14    44266    57983    15
43.16    44531    58239    9
43.18    43494    56473    18
43.2    42608    55724    14
43.22    42516    56170    10
43.24    41191    55690    7
43.26    41466    55200    10
43.28    40885    55184    15
43.3    39933    54812    9
43.32    39960    53238    15
43.34    39425    53586    13
43.36    39208    52881    8
43.38    38237    52102    9
43.4    38160    52982    7
43.42    38187    52290    8
43.44    37587    51661    3
43.46    37066    53083    5
43.48    36407    51362    12
43.5    36717    51146    10
43.52    36669    50982    8
43.54    35937    51392    9
43.56    36076    49792    5
43.58    36088    50596    10
43.6    35822    50458    13
43.62    34767    49135    16
43.64    34742    49766    13
43.66    34595    49417    14
43.68    34026    49212    18
43.7    34146    48117    11
43.72    34191    48722    7
43.74    33433    48160    8
43.76    33009    48462    17
43.78    33339    47814    15
43.8    33071    48514    11
43.82    33055    48267    11
43.84    32669    46514    14
43.86    33070    46811    13
43.88    32349    46995    11
43.9    32184    46850    20
43.92    32509    46772    11
43.94    32118    46987    10
43.96    32256    45668    14
43.98    31888    46544    17
44.0    32127    46452    19
44.02    31190    45540    10
44.04    31500    46099    13
44.06    30783    45595    15
44.08    31290    45620    5
44.1    30780    45109    9
44.12    30822    44622    13
44.14    31060    43938    12
44.16    30572    44700    16
44.18    30302    44887    11
44.2    30775    45211    11
44.22    30149    44951    14
44.24    30275    45103    12
44.26    29681    44125    16
44.28    29833    44372    18
44.3    29505    43863    18
44.32    29590    43838    15
44.34    29623    43960    16
44.36    29048    43910    22
44.38    29973    43824    16
44.4    29361    43574    10
44.42    29171    44149    11
44.44    28902    43553    13
44.46    29047    43318    10
44.48    29144    43404    12
44.5    29298    42730    16
44.52    28377    43056    10
44.54    28531    42391    13
44.56    28472    42261    12
44.58    28691    42361    12
44.6    28030    41982    17
44.62    28279    42004    11
44.64    28473    42222    14
44.66    28216    42617    10
44.68    28429    42609    12
44.7    27999    42129    8
44.72    27986    41796    12
44.74    28108    42052    7
44.76    27637    41691    15
44.78    27821    42041    2
44.8    27321    41148    12
44.82    27753    40805    8
44.84    27774    41045    18
44.86    27809    41011    14
44.88    27636    41835    15
44.9    27305    40925    4
44.92    27380    40334    11
44.94    27600    40480    10
44.96    26809    40202    6
44.98    27390    40401    11
45.0    26727    40202    15
