-50000,100,101,102
-49500,100,101,102
-49000,100,101,102
-48500,100,101,102
-48000,100,101,102
-47500,100,101,102
-47000,100,101,102
-46500,100,101,102
-46000,100,101,102
-45500,100,101,102
-45000,100,101,102
-44500,100,101,102
-44000,100,101,102
-43500,100,101,102
-43000,100,101,102
-42500,100,101,102
-42000,100,101,102
-41500,100,101,102
-41000,100,101,102
-40500,100,101,102
-40000,100,101,102
-39500,100,101,102
-39000,100,101,102
-38500,100,101,102
-38000,100,101,102
-37500,100,101,102
-37000,100,101,102
-36500,100,101,102
-36000,100,101,102
-35500,100,101,102
-35000,100,101,102
-34500,100,101,102
-34000,100,101,102
-33500,100,101,102
-33000,100,101,102
-32500,100,101,102
-32000,100,101,102
-31500,100,101,102
-31000,100,101,102
-30500,100,101,102
-30000,100,101,102
-29500,100,101,102
-29000,100,101,102
-28500,100,101,102
-28000,100,101,102
-27500,100,101,102
-27000,100,101,102
-26500,100,101,102
-26000,100,101,102
-25500,100,101,102
-25000,100,101,102
-24500,100,101,102
-24000,100,101,102
-23500,100,101,102
-23000,100,101,102
-22500,100,101,102
-22000,100,101,102
-21500,100,101,102
-21000,100,101,102
-20500,100,101,102
-20000,100,101,102
-19500,100,101,102
-19000,100,101,102
-18500,100,101,102
-18000,100,101,102
-17500,100,101,102
-17000,100,101,102
-16500,100,101,102
-16000,100,101,102
-15500,100,101,102
-15000,100,101,102
-14500,100,101,102
-14000,100,101,102
-13500,100,101,102
-13000,100,101,102
-12500,100,101,102
-12000,100,101,102
-11500,100,101,102
-11000,100,101,102
-10500,100,101,102
-10000,100,101,102
-9500,100,101,102
-9000,100,101,102
-8500,100,101,102
-8000,100,101,102
-7500,100,101,102
-7000,100,101,102
-6500,100,101,102
-6000,100,101,102
-5500,100,101,102
-5000,100,101,102
-4500,100,101,102
-4000,100,101,102
-3500,100,101,102
-3000,100,101,102
-2500,100,101,102
-2000,100,101,102
-1500,100,101,102
-1000,100,101,102
-500,100,101,102
0,100,101,102
500,100,101,102
1000,100,101,102
1500,100,101,102
2000,100,101,102
2500,100,101,102
3000,100,101,102
3500,100,101,102
4000,100,101,102
4500,100,101,102
5000,100,101,102
5500,100,101,102
6000,100,101,102
6500,100,101,102
7000,100,101,102
7500,100,101,102
8000,100,101,102
8500,100,101,102
9000,100,101,102
9500,100,101,102
10000,100,101,102
10500,100,101,102
11000,100,101,102
11500,100,101,102
12000,100,101,102
12500,100,101,102
13000,100,101,102
13500,100,101,102
14000,100,101,102
14500,100,101,102
15000,100,101,102
15500,100,101,102
16000,100,101,102
16500,100,101,102
17000,100,101,102
17500,100,101,102
18000,100,101,102
18500,100,101,102
19000,100,101,102
19500,100,101,102
20000,100,101,102
20500,100,101,102
21000,100,101,102
21500,100,101,102
22000,100,101,102
22500,100,101,102
23000,100,101,102
23500,100,101,102
24000,100,101,102
24500,100,101,102
25000,100,101,102
25500,100,101,102
26000,100,101,102
26500,100,101,102
27000,100,101,102
27500,100,101,102
28000,100,101,102
28500,100,101,102
29000,100,101,102
29500,100,101,102
30000,100,101,102
30500,100,101,102
31000,100,101,102
31500,100,101,102
32000,100,101,102
32500,100,101,102
33000,100,101,102
33500,100,101,102
34000,100,101,102
34500,100,101,102
35000,100,101,102
35500,100,101,102
36000,100,101,102
36500,100,101,102
37000,100,101,102
37500,100,101,102
38000,100,101,102
38500,100,101,102
39000,100,101,102
39500,100,101,102
40000,100,101,102
40500,100,101,102
41000,100,101,102
41500,100,101,102
42000,100,101,102
42500,100,101,102
43000,100,101,102
43500,100,101,102
44000,100,101,102
44500,100,101,102
45000,100,101,102
45500,100,101,102
46000,100,101,102
46500,100,101,102
47000,100,101,102
47500,100,101,102
48000,100,101,102
48500,100,101,102
49000,100,101,102
49500,100,101,102
50000,100,101,102
